_id,_visible,_version,_changeset,_timestamp,_user,_uid,_lat,_lon,tag/0/_k,tag/0/_v,tag/1/_k,tag/1/_v,tag/2/_k,tag/2/_v,tag/3/_k,tag/3/_v,tag/4/_k,tag/4/_v,tag/5/_k,tag/5/_v,tag/6/_k,tag/6/_v,tag/7/_k,tag/7/_v,tag/8/_k,tag/8/_v,tag/9/_k,tag/9/_v
252182160,true,6,17753188,2013-09-09T16:45:51Z,Ryo-a,631141,35.6168060,139.3422716,,,,,,,,,,,,,,,,,,,,
252182161,true,3,5327494,2010-07-27T09:06:54Z,techstrom,39534,35.6177383,139.3435018,,,,,,,,,,,,,,,,,,,,
252182162,true,3,5327494,2010-07-27T09:06:55Z,techstrom,39534,35.6185223,139.3444054,,,,,,,,,,,,,,,,,,,,
252182163,true,3,5327494,2010-07-27T09:06:55Z,techstrom,39534,35.6189218,139.3447456,,,,,,,,,,,,,,,,,,,,
252182164,true,5,5327494,2010-07-27T09:06:55Z,techstrom,39534,35.6193395,139.3450458,,,,,,,,,,,,,,,,,,,,
252182165,true,8,69685261,2019-04-29T08:05:56Z,Otenkiya,4702051,35.6198480,139.3452840,abandoned:barrier,toll_booth,abandoned:name,御殿山料金所,,,,,,,,,,,,,,,,
252182166,true,2,5327494,2010-07-27T09:06:55Z,techstrom,39534,35.6210610,139.3455920,,,,,,,,,,,,,,,,,,,,
252182167,true,4,5327494,2010-07-27T09:06:56Z,techstrom,39534,35.6227955,139.3458940,,,,,,,,,,,,,,,,,,,,
252182168,true,3,5327494,2010-07-27T09:06:54Z,techstrom,39534,35.6240770,139.3463420,highway,motorway_junction,layer,2,name,片倉,,,,,,,,,,,,,,
252182169,true,4,5327494,2010-07-27T09:06:56Z,techstrom,39534,35.6264070,139.3476173,,,,,,,,,,,,,,,,,,,,
252182170,true,5,5327494,2010-07-27T09:06:56Z,techstrom,39534,35.6274313,139.3482082,,,,,,,,,,,,,,,,,,,,
252182171,true,5,5327494,2010-07-27T09:06:56Z,techstrom,39534,35.6282740,139.3486584,,,,,,,,,,,,,,,,,,,,
252182172,true,5,68230074,2019-03-17T14:45:38Z,machiro,4480756,35.6287553,139.3488025,,,,,,,,,,,,,,,,,,,,
252182173,true,8,5327494,2010-07-27T09:06:57Z,techstrom,39534,35.6315125,139.3482676,,,,,,,,,,,,,,,,,,,,
252182174,true,6,5327494,2010-07-27T09:06:58Z,techstrom,39534,35.6331006,139.3478535,,,,,,,,,,,,,,,,,,,,
252182175,true,6,5327494,2010-07-27T09:06:58Z,techstrom,39534,35.6343947,139.3482325,,,,,,,,,,,,,,,,,,,,
252182176,true,6,5327494,2010-07-27T09:06:58Z,techstrom,39534,35.6352012,139.3488970,,,,,,,,,,,,,,,,,,,,
252182177,true,5,5327494,2010-07-27T09:06:58Z,techstrom,39534,35.6380131,139.3511260,,,,,,,,,,,,,,,,,,,,
252182178,true,7,5327494,2010-07-27T09:06:59Z,techstrom,39534,35.6392733,139.3517030,,,,,,,,,,,,,,,,,,,,
